 61 4751.985711 6.604E-28 2.100E-03.04600.058 2181.82080.59-.009500    0 1 1 0 1F1    0 0 0 0 1A1   21F1245        20F2  2     123332453637 7 1 7   129.0  123.0
 61 4752.022731 1.406E-29 2.988E-06.04500.060 1594.34470.61-.009500    0 1 1 0 1F2    0 0 0 0 1A1   18F1228        17F2  4     324332453638 7 1 7   111.0  105.0
 61 4752.038455 1.151E-27 2.447E-04.04500.060 1594.38310.61-.009500    0 1 1 0 1F1    0 0 0 0 1A1   18F2230        17F1  5     134332453638 7 1 7   111.0  105.0
 61 4752.040341 1.327E-28 1.625E-04.04400.058 1975.75900.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   20F1238        19F2  3     324332453638 7 1 7   123.0  117.0
 61 4752.042284 3.837E-27 1.840E-02.04600.058 2182.99000.59-.009500    0 3 0 0 1A1    0 0 0 0 1A1   21E 163        20E   3     133332453637 7 1 7    86.0   82.0
 61 4752.043970 4.910E-28 2.519E-05.04800.063 1251.80730.62-.009504    0 0 0 4  F2    0 0 0 0 1A1   14F2  3        15F1  3     353333594932 3 3 3    87.0   93.0
 61 4752.049579 2.130E-28 1.016E-03.04600.058 2181.80760.59-.009500    0 1 1 0 1F1    0 0 0 0 1A1   21E 162        20E   2     123332453637 7 1 7    86.0   82.0
 61 4752.054239 2.234E-29 4.703E-06.04500.060 1592.35940.61-.009500    0 1 1 0 1F1    0 0 0 0 1A1   18F1227        17F2  1     324332453638 7 1 7   111.0  105.0
 61 4752.135250 4.590E-28 3.532E-05.04800.063 1251.77990.62-.009504    0 0 0 4  F2    0 0 0 0 1A1   14E   2        15E   2     353333594932 3 3 3    58.0   62.0
 61 4752.195119 5.085E-27 9.702E-03.04600.058 2181.85060.59-.009500    0 1 1 0 1F1    0 0 0 0 1A1   21A1 80        20A2  1     133332453637 7 1 7   215.0  205.0
 61 4752.210679 3.219E-29 3.952E-05.04400.058 1976.24190.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   20F2240        19F1  3     324332453638 7 1 7   123.0  117.0
 61 4752.265540 5.754E-27 1.835E-03.03800.060 1594.36690.61-.009500    0 1 1 0 1F2    0 0 0 0 1A1   18E 153        17E   3     334332453638 7 1 7    74.0   70.0
 61 4752.328690 5.402E-28 1.794E-03.04600.058 2180.95040.59-.009500    0 3 0 0 1E     0 0 0 0 1A1   20F1278        20F2  1     123332453637 7 1 7   123.0  123.0
 61 4752.333125 3.378E-29 7.112E-06.04500.060 1592.35890.61-.009500    0 1 1 0 1F1    0 0 0 0 1A1   18F2229        17F1  1     324332453638 7 1 7   111.0  105.0
 61 4752.395530 2.861E-27 6.072E-04.04500.060 1594.02590.61-.009500    0 1 1 0 1F1    0 0 0 0 1A1   18F2230        17F1  4     134332453638 7 1 7   111.0  105.0
 61 4752.489131 1.684E-26 3.572E-03.04500.060 1593.87830.61-.009500    0 1 1 0 1F2    0 0 0 0 1A1   18F1228        17F2  3     334332453638 7 1 7   111.0  105.0
 61 4752.501976 6.349E-28 1.533E-06.05300.070  575.28520.64-.009500    0 3 0 0 1E     0 0 0 0 1A1   11F1157        10F2  3     324332453638 7 1 7    69.0   63.0
 61 4752.505000 1.048E-26 4.574E-03.05600.078 1409.37500.72-.009500    0 0 2 0 1F2    0 0 0 1 1F2    5E 113         4E   1     444332473838 7 1 7    22.0   18.0
 61 4752.508250 9.280E-28 2.959E-03.04600.058 2182.40010.59-.009500    0 3 0 0 1A1    0 0 0 0 1A1   21F1246        20F2  3     123332453637 7 1 7   129.0  123.0
 61 4752.533820 5.644E-27 4.173E-03.03800.059 1778.20430.60-.009500    0 1 1 0 1F2    0 0 0 0 1A1   19E 156        18E   1     134332453638 7 1 7    78.0   74.0
 61 4752.543242 3.371E-28 1.682E-04.04500.059 1780.74740.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   19F2233        18F1  4     124332453638 7 1 7   117.0  111.0
 61 4752.572889 5.608E-26 7.134E-03.04600.060 1593.78440.61-.009500    0 1 1 0 1F2    0 0 0 0 1A1   18A1 78        17A2  1     334332453638 7 1 7   185.0  175.0
 61 4752.583790 1.224E-26 2.602E-03.04500.060 1594.34470.61-.009500    0 1 1 0 1F2    0 0 0 0 1A1   18F1229        17F2  4     134332453638 7 1 7   111.0  105.0
